recode,women_health_category,women_health_role,catalog_dataset_count,local_dta_count,recommended
BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",169,0,True
CR,casal_parceiro,Informações conjugais e do parceiro,143,0,True
HH,modulo_especial,Questionário domiciliar especial,16,0,True
HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",196,0,True
HW,antropometria,"Peso, altura, anemia e medidas corporais",67,0,True
IQ,modulo_especial,Questionário individual especial,6,0,True
IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,205,202,True
KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",202,0,True
ML,malaria,"Prevenção, diagnóstico e tratamento de malária",4,0,True
MR,casal_parceiro,Informações masculinas relacionadas ao casal,144,0,True
OD,modulo_especial,Outros dados/módulos complementares,3,0,True
PR,moradores_contexto,Moradores do domicílio e composição familiar,196,0,True
SQ,servicos_saude,Disponibilidade e infraestrutura de serviços,25,0,True
VA,mortalidade,Autópsia verbal e causa de morte,4,0,True
WI,socioeconomico,Índice de riqueza e contexto socioeconômico,39,0,True
