theme,description,country_count,variable_country_pairs,countries_missing,representative_variables
demografia,Demografia e contexto geográfico,37,11141,,awfactr | b13_01 | b13_02 | b13_03 | b13_04 | b13_05 | b13_06 | b13_07 | b13_08 | b13_09 | b13_1 | b13_10 | b13_11 | b13_12 | b13_13 | b13_14 | b13_15 | b13_16 | b13_17 | b13_18
historia_reprodutiva,História reprodutiva e fecundidade,37,35332,,b0_01 | b0_02 | b0_03 | b0_04 | b0_05 | b0_06 | b0_07 | b0_08 | b0_09 | b0_1 | b0_10 | b0_11 | b0_12 | b0_13 | b0_14 | b0_15 | b0_16 | b0_17 | b0_18 | b0_19
identificacao_amostragem,"Identificação, amostragem e entrevista",37,9690,,caseid | chd32 | chd33 | d100a | d101a | d101b | d101c | d101d | d101e | d101f | d101g | d105en | d105gn | d105in | d105jn | d105k | d109 | d110cn | d111n | d112
nutricao_anemia,"Nutrição, antropometria e anemia",37,6712,,h70a_1 | h70a_2 | h70a_3 | h70a_4 | h70a_5 | h70a_6 | h70b_1 | h70b_2 | h70b_3 | h70b_4 | h70b_5 | h70b_6 | h80c_1 | h80c_2 | h80c_3 | h80c_4 | h80c_5 | h80c_6 | hw10_1 | hw10_2
outros,Outros módulos/variáveis,37,128530,,awfacte | awfactt | awfactu | b0_01 | b0_02 | b0_03 | b0_04 | b0_05 | b0_06 | b0_07 | b0_08 | b0_09 | b0_10 | b0_11 | b0_12 | b0_13 | b0_14 | b0_15 | b0_16 | b0_17
planejamento_familiar,Planejamento familiar e contracepção,37,3117,,cp1_07 | cp1_1 | cp1_2 | cp1_3 | cp1_4 | cp1_5 | cp1_6 | cp1_7 | cp2_07 | cp2_1 | cp2_2 | cp2_3 | cp2_4 | cp2_5 | cp2_6 | cp2_7 | h12c_1 | h12c_2 | h12c_3 | h12c_4
saude_infantil,Saúde infantil e aleitamento,37,39588,,d444yf_1 | d444yf_2 | d444yf_3 | d444yf_4 | d444yf_5 | d444yf_6 | fy_1 | fy_2 | fy_3 | fy_4 | fy_5 | fy_6 | fyd_1 | fyd_2 | fyd_3 | fyd_4 | fyd_5 | fyd_6 | fym_1 | fym_2
saude_materna,Saúde materna e assistência ao parto,37,37489,,b15_01 | b15_02 | b15_03 | b15_04 | b15_05 | b15_06 | b15_07 | b15_08 | b15_09 | b15_10 | b15_11 | b15_12 | b15_13 | b15_14 | b15_15 | b15_16 | b15_17 | b15_18 | b15_19 | b15_20
saude_sexual_ist,"Saúde sexual, HIV/IST e tuberculose",36,12649,Sudão,aidsex | cc3f | d127 | g117h | hivwt | m58_1 | m58_2 | m58_3 | m58_4 | m58_5 | m58_6 | mv793a | mv793b | s1001aa | s1001ab | s1001ac | s1001ad | s1001ae | s1001af | s1001ag
socioeconomico,Condições socioeconômicas e domicílio,37,7204,,awfacte | awfacte5 | awfactw | chd01 | chd06 | chd11 | chd13 | chd15 | chd17 | chd18 | chd20 | chd22 | chd27 | d101g | d119w | d119xk | d127k | ecd10a | ecd10b | ecd10c
violencia_genero_autonomia,"Violência, abuso e autonomia",35,5182,República Centro-Africana | Sudão,d005 | d101g | d103a | d103an | d103b | d103bn | d103c | d103cn | d103d | d103dn | d103e | d103en | d103f | d103fn | d104 | d104n | d105a | d105an | d105b | d105bn
