normalized_label,country_count,variable_count,countries,variables,examples
0,1,1,Madagascar,v755f,0
0first source for combination with artemisinin,1,6,Etiópia,ml20c_1 | ml20c_2 | ml20c_3 | ml20c_4 | ml20c_5 | ml20c_6,na-0first source for combination with artemisinin
0hould children be taught a,1,1,Etiópia,v780,0hould children be taught a-na
1,1,1,Senegal,caseid,1
1ere visite combien de mois,1,1,Togo,rc224,1ere visite  combien de mois
1rst drug taken for fever cough when 2 drugs,1,6,Gabão,s538f_1 | s538f_2 | s538f_3 | s538f_4 | s538f_5 | s538f_6,1rst drug taken for fever/cough when 2+ drugs
1rst drug taken for fever cough when 3 drugs,1,6,Gabão,s538b_1 | s538b_2 | s538b_3 | s538b_4 | s538b_5 | s538b_6,1rst drug taken for fever/cough when 3+ drugs
1st bp measurement diastolic,1,1,Lesoto,sbp1d,1st bp measurement : diastolic | 1st bp measurement: diastolic
1st bp measurement systolic,1,1,Lesoto,sbp1s,1st bp measurement : systolic | 1st bp measurement: systolic
1st choice time for radio,1,1,Senegal,s337a,1st choice time for radio
1st days life sucking normal,1,6,República Centro-Africana,s478c_1 | s478c_2 | s478c_3 | s478c_4 | s478c_5 | s478c_6,1st days life - sucking normal
1st response to fever,1,5,Malaui,s63b1_1 | s63b1_2 | s63b1_3 | s63b1_4 | s63b1_5,1st response to fever
1st treatment for fever,1,6,Ruanda,s463ca_1 | s463ca_2 | s463ca_3 | s463ca_4 | s463ca_5 | s463ca_6,1st treatment for fever
2nd bp measurement diastolic,1,1,Lesoto,sbp2d,2nd bp measurement : diastolic | 2nd bp measurement: diastolic
2nd bp measurement systolic,1,1,Lesoto,sbp2s,2nd bp measurement : systolic | 2nd bp measurement: systolic
2nd choice time for radio,1,1,Senegal,s337b,2nd choice time for radio
2nd drug taken for fever cough when 2 drugs,1,6,Gabão,s538g_1 | s538g_2 | s538g_3 | s538g_4 | s538g_5 | s538g_6,2nd drug taken for fever/cough when 2+ drugs
2nd drug taken for fever cough when 3 drugs,1,6,Gabão,s538c_1 | s538c_2 | s538c_3 | s538c_4 | s538c_5 | s538c_6,2nd drug taken for fever/cough  when 3+ drugs
2nd response to fever,1,5,Malaui,s63b2_1 | s63b2_2 | s63b2_3 | s63b2_4 | s63b2_5,2nd response to fever
2nd to most recent sex part,1,1,Ruanda,v821b,2nd to most recent sex part-na
2nd to most recent sex partner younger the same age or older,33,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v821b,"2nd to most recent sex partner younger, the same age or older | NA - 2nd to most recent sex partner younger, the same age or older | na - 2nd to most recent sex partner younger, the same age or older | na-2nd to most recent sex partner younger, the same age or older"
