country,file,stem,recode,women_health_category,women_health_role,phase_version,variables,catalog_filename,survey_id,data_label
Angola,AOIR51FL.DTA,AOIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,4213,AOIR51DT.zip,282,
Angola,AOIR62FL.DTA,AOIR62FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,62,1219,AOIR62DT.zip,395,
Angola,AOIR71FL.DTA,AOIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,5336,AOIR71DT.zip,477,
Angola,AOIR81FL.dta,AOIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,7053,AOIR81DT.zip,569,
Benin,BJIR31FL.DTA,BJIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,2773,BJIR31DT.zip,87,
Benin,BJIR41FL.DTA,BJIR41FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,41,3472,BJIR41DT.zip,211,
Benin,BJIR51FL.DTA,BJIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,4661,BJIR51DT.zip,289,
Benin,BJIR61FL.DTA,BJIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4077,BJIR61DT.zip,420,
Benin,BJIR71FL.DTA,BJIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,5109,BJIR71DT.zip,491,
Burkina Faso,BFIR21FL.DTA,BFIR21FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,21,2479,BFIR21DT.zip,42,
Burkina Faso,BFIR31FL.DTA,BFIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,3023,BFIR31DT.zip,116,
Burkina Faso,BFIR43FL.dta,BFIR43FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,43,3951,BFIR43DT.zip,230,
Burkina Faso,BFIR62FL.DTA,BFIR62FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,62,4370,BFIR62DT.zip,329,
Burkina Faso,BFIR71FL.DTA,BFIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,3094,BFIR71DT.zip,481,
Burkina Faso,BFIR7AFL.DTA,BFIR7AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7A,1424,BFIR7ADT.zip,526,
Burkina Faso,BFIR81FL.DTA,BFIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,5578,BFIR81DT.zip,562,
Burundi,BUIR02FL.DTA,BUIR02FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,02,1528,BUIR02DT.zip,16,
Burundi,BUIR61FL.DTA,BUIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,3952,BUIR61DT.zip,346,
Burundi,BUIR6AFL.DTA,BUIR6AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,6A,3227,BUIR6ADT.zip,446,
Burundi,BUIR71FL.DTA,BUIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,5022,BUIR71DT.zip,463,
Camarões,CMIR22FL.DTA,CMIR22FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,22,2351,CMIR22DT.zip,38,
Camarões,CMIR31FL.DTA,CMIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,2966,CMIR31DT.zip,101,
Camarões,CMIR44FL.dta,CMIR44FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,44,4433,CMIR44DT.zip,232,
Camarões,CMIR61FL.DTA,CMIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4378,CMIR61DT.zip,337,
Camarões,CMIR71FL.DTA,CMIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,5102,CMIR71DT.zip,511,
Camarões,CMIR82FL.DTA,CMIR82FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,82,3158,CMIR82DT.zip,563,
Chade,TDIR31FL.DTA,TDIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,3282,TDIR31DT.zip,83,
Chade,TDIR41FL.DTA,TDIR41FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,41,4857,TDIR41DT.zip,215,
Chade,TDIR71FL.DTA,TDIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,4463,TDIR71DT.zip,465,
Comores,KMIR32FL.DTA,KMIR32FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,32,2715,KMIR32DT.zip,93,
Comores,KMIR61FL.DTA,KMIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4138,KMIR61DT.zip,443,
Congo (Brazzaville),CGIR51FL.DTA,CGIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,4350,CGIR51DT.zip,267,
Congo (Brazzaville),CGIR5AFL.DTA,CGIR5AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,5A,482,CGIR5ADT.zip,370,
Congo (Brazzaville),CGIR61FL.DTA,CGIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4413,CGIR61DT.zip,388,
Congo (República Democrática),CDIR51FL.DTA,CDIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,4328,CDIR51DT.zip,239,
Congo (República Democrática),CDIR61FL.DTA,CDIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4245,CDIR61DT.zip,421,
Congo (República Democrática),CDIR81FL.dta,CDIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,5942,CDIR81DT.zip,597,
Costa do Marfim,CIIR35FL.DTA,CIIR35FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,35,2956,CIIR35DT.zip,62,
Costa do Marfim,CIIR3AFL.DTA,CIIR3AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,3A,2629,CIIR3ADT.zip,106,
Costa do Marfim,CIIR51FL.DTA,CIIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,1321,CIIR51DT.zip,231,
