variable,country_count,file_count,labels,themes
awfacte,37,181,All woman factor - educational | all woman factor - educatio-na | all woman factor - education | all woman factor - educational | na - all woman factor - educational,outros | socioeconomico
awfactr,37,181,All woman factor - regional | all woman factor - region | all woman factor - regional | all woman factor - regional-na | all woman factor - regions | na - all woman factor - regional,demografia
awfactt,37,181,All woman factor - total | all woman factor - total | all woman factor - total   -na | na - all woman factor - total,outros
awfactu,37,181,All woman factor - urban/rural | all woman factor - urban/ru-na | all woman factor - urban/rural | all woman factor-urban/rural | na - all woman factor - urban/rural,outros
b0_01,37,198,Child is twin | b0$02 | child is twin,historia_reprodutiva | outros
b0_02,37,198,Child is twin | child is twin,historia_reprodutiva | outros
b0_03,37,198,Child is twin | b0$04 | child is twin,historia_reprodutiva | outros
b0_04,37,198,Child is twin | child is twin,historia_reprodutiva | outros
b0_05,37,198,Child is twin | b0$06 | child is twin,historia_reprodutiva | outros
b0_06,37,198,Child is twin | child is twin,historia_reprodutiva | outros
b0_07,37,198,Child is twin | b0$08 | child is twin,historia_reprodutiva | outros
b0_08,37,198,Child is twin | child is twin,historia_reprodutiva | outros
b0_09,37,198,Child is twin | b0$10 | child is twin,historia_reprodutiva | outros
b0_10,37,198,Child is twin | child is twin,historia_reprodutiva | outros
b0_11,37,198,Child is twin | b0$12 | child is twin,historia_reprodutiva | outros
b0_12,37,198,Child is twin | child is twin,historia_reprodutiva | outros
b0_13,37,198,Child is twin | b0$14 | child is twin,historia_reprodutiva | outros
b0_14,37,198,Child is twin | child is twin,historia_reprodutiva | outros
b0_15,37,198,Child is twin | b0$16 | child is twin,historia_reprodutiva | outros
b0_16,37,197,Child is twin | child is twin,historia_reprodutiva | outros
b0_17,37,197,Child is twin | b0$18 | child is twin,historia_reprodutiva | outros
b0_18,37,197,Child is twin | child is twin,historia_reprodutiva | outros
b0_19,37,197,"Child is twin | b0$20    ""child is twin"" | b0$20    'child is twin' | child is twin",historia_reprodutiva
b0_20,37,197,Child is twin | child is twin,historia_reprodutiva | outros
b10_01,37,198,Completeness of information | b10$02 | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_02,37,198,Completeness of information | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_03,37,198,Completeness of information | b10$04 | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_04,37,198,Completeness of information | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_05,37,198,Completeness of information | b10$06 | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_06,37,198,Completeness of information | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_07,37,198,Completeness of information | b10$08 | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_08,37,198,Completeness of information | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_09,37,198,Completeness of information | b10$10 | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_10,37,198,Completeness of information | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_11,37,198,Completeness of information | b10$12 | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_12,37,198,Completeness of information | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_13,37,198,Completeness of information | b10$14 | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_14,37,198,Completeness of information | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_15,37,198,Completeness of information | b10$16 | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_16,37,197,Completeness of information | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_17,37,197,Completeness of information | b10$18 | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_18,37,197,Completeness of information | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_19,37,197,"Completeness of information | b10$20   ""completeness of information"" | b10$20   'completeness of information' | completeness of information | completeness of information for date of birth",historia_reprodutiva | outros
b10_20,37,197,Completeness of information | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b11_01,37,198,Preceding birth interval (months) | b11$02 | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_02,37,198,Preceding birth interval (months) | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_03,37,198,Preceding birth interval (months) | b11$04 | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_04,37,198,Preceding birth interval (months) | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_05,37,198,Preceding birth interval (months) | b11$06 | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_06,37,198,Preceding birth interval (months) | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_07,37,198,Preceding birth interval (months) | b11$08 | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_08,37,198,Preceding birth interval (months) | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_09,37,198,Preceding birth interval (months) | b11$10 | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_10,37,198,Preceding birth interval (months) | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_11,37,198,Preceding birth interval (months) | b11$12 | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_12,37,198,Preceding birth interval (months) | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_13,37,198,Preceding birth interval (months) | b11$14 | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_14,37,198,Preceding birth interval (months) | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_15,37,198,Preceding birth interval (months) | b11$16 | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_16,37,197,Preceding birth interval (months) | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_17,37,197,Preceding birth interval (months) | b11$18 | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_18,37,197,Preceding birth interval (months) | preceding birth interval | preceding birth interval (months),historia_reprodutiva | outros
b11_19,37,197,"Preceding birth interval (months) | b11$20   ""preceding birth interval"" | b11$20   'preceding birth interval' | preceding birth interval | preceding birth interval (months)",historia_reprodutiva
