country,recode,dataset_count
Angola,BR,3
Angola,CR,2
Angola,HR,4
Angola,IR,4
Angola,KR,4
Angola,MR,2
Angola,PR,4
Benin,BR,5
Benin,CR,5
Benin,HR,5
Benin,HW,2
Benin,IR,5
Benin,KR,5
Benin,MR,5
Benin,PR,5
Benin,SQ,3
Benin,WI,2
Burkina Faso,BR,5
Burkina Faso,CR,5
Burkina Faso,HR,7
Burkina Faso,HW,3
Burkina Faso,IR,7
Burkina Faso,KR,7
Burkina Faso,MR,5
Burkina Faso,PR,7
Burkina Faso,SQ,1
Burkina Faso,WI,2
Burundi,BR,3
Burundi,CR,2
Burundi,HH,1
Burundi,HR,3
Burundi,HW,1
Burundi,IR,4
Burundi,KR,4
Burundi,MR,2
Burundi,PR,3
Burundi,SQ,1
Camarões,BR,5
Camarões,CR,5
Camarões,HR,6
Camarões,HW,3
Camarões,IR,6
Camarões,KR,6
Camarões,MR,5
Camarões,PR,6
Camarões,SQ,1
Camarões,WI,2
Chade,BR,3
Chade,CR,3
Chade,HR,3
Chade,HW,2
Chade,IR,3
Chade,KR,3
Chade,MR,3
Chade,PR,3
Chade,SQ,2
Chade,WI,1
Comores,BR,2
Comores,CR,2
Comores,HR,2
Comores,HW,1
Comores,IR,2
Comores,KR,2
Comores,MR,2
Comores,PR,2
Comores,WI,1
Congo (Brazzaville),BR,2
Congo (Brazzaville),CR,2
Congo (Brazzaville),HR,3
Congo (Brazzaville),HW,1
Congo (Brazzaville),IR,3
Congo (Brazzaville),KR,2
Congo (Brazzaville),MR,2
Congo (Brazzaville),PR,3
Congo (República Democrática),BR,3
Congo (República Democrática),CR,3
Congo (República Democrática),HR,3
Congo (República Democrática),IR,3
Congo (República Democrática),KR,3
Congo (República Democrática),MR,3
Congo (República Democrática),PR,3
Costa do Marfim,BR,5
Costa do Marfim,CR,4
Costa do Marfim,HR,5
Costa do Marfim,HW,2
Costa do Marfim,IR,5
Costa do Marfim,KR,5
Costa do Marfim,MR,4
