theme,description,country_count,variable_country_pairs,countries_missing,representative_variables
demografia,Demografia e contexto geográfico,38,34693,,a107 | a108 | a116 | a4002 | a4109_2 | a42_03 | a54_03 | a627 | a63_03 | a715_05 | a823 | a832_05 | a835 | awfactr | b13 | b13_01 | b13_02 | b13_03 | b13_04 | b13_05
historia_reprodutiva,História reprodutiva e fecundidade,38,64815,,a12c_03 | a27a_03 | a4159 | a4162 | a4163_1 | a4173_2 | a4189_2 | a4194 | a4284 | age | b0 | b0_01 | b0_02 | b0_03 | b0_04 | b0_05 | b0_06 | b0_07 | b0_08 | b0_09
identificacao_amostragem,"Identificação, amostragem e entrevista",38,36428,,a00h_03 | a00m_03 | a100h | a100m | a119_11 | a123p | a123t | a125 | a126p | a126t | a134 | a135p | a135t | a4009n | a4009u | a4010n | a4010u | a4064_1 | a4134n | a4134u
nutricao_anemia,"Nutrição, antropometria e anemia",38,47643,,a138e | a1424 | a21n_03 | a816j | bpm15 | bpm15_1 | bpm15_2 | bpm15_3 | bpm15_4 | bpm15_5 | bpm15_6 | bpm15_7 | bpm15_8 | bpm15_9 | bpw15 | bpw15_1 | bpw15_2 | bpw15_3 | bpw15_4 | bpw15_5
outros,Outros módulos/variáveis,38,332572,,COL1_01 | COL1_02 | COL1_03 | COL1_04 | COL1_05 | COL1_06 | COL1_07 | COL1_08 | COL1_09 | COL1_10 | FTITRE1 | FTITRE2 | FTITRE3 | FTITRE4 | HTITRE1 | HTITRE2 | HTITRE3 | HTITRE4 | NLIGN2_01 | NLIGN2_02
planejamento_familiar,Planejamento familiar e contracepção,38,7918,,a632 | a638c_07 | a638t | a70_03 | c116ae | c117ae | c122ae | c122b | c123ae | c124a6 | c206a_1 | c206a_2 | c206a_3 | c206a_4 | c206a_5 | c206a_6 | c206a_7 | c206a_8 | c206e_1 | c206e_2
saude_infantil,Saúde infantil e aleitamento,38,47712,,a39_03 | a4051 | a4051_s1 | a4052n | a4052u | a4053 | a4054 | a4055 | a4058 | a4058_s2 | a4059n | a4059u | a4302_1 | a4310_1 | a444b_1 | a444b_2 | a444b_3 | a444b_4 | a444b_5 | a444b_6
saude_materna,Saúde materna e assistência ao parto,38,47533,,a136c | a136d | a22_03 | a38e_03 | a4166 | a4167 | a4168 | a4168_1 | a4168_3 | a4169 | a4173_1 | a4178 | a4178_1 | a4178_2 | a4178a | a4178a_1 | a4178b | a4178c | a4180 | a4181
saude_sexual_ist,"Saúde sexual, HIV/IST e tuberculose",36,34809,Sudão | África do Sul (Histórico/Outro),a138a | a4310_3 | a4454 | a4454_1 | a4455 | a4456 | a4456_1 | a4457 | a629c | a631c | a65c_03 | a67c_03 | a76c_03 | aidsex | c109ac | c110cb | c110cc | c111bc | c112bc | c113b
socioeconomico,Condições socioeconômicas e domicílio,38,64465,,a03_03 | a111 | a112 | a113 | a124 | a127 | a131 | a132a | a132b | a132c | a132d | a132e | a133p | a133t | a21a_03 | a21b_03 | a21g_03 | a4007 | a4007_1 | a4149
violencia_genero_autonomia,"Violência, abuso e autonomia",35,7311,República Centro-Africana | Sudão | África do Sul (Histórico/Outro),a4206 | a4206_1 | a4206_11 | a4206_13 | a4206_16 | a4206_17 | a4206_19 | a4206_19_1 | a4206_20 | a4206_21 | a4206_22 | a4206_4 | a4206_5 | a4206_8 | a4206_9 | a4207n | a4207u | c3071 | c3227 | c3227_1
