normalized_label,country_count,variable_count,countries,variables,examples
age at death,38,96,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),b6 | b6_01 | b6_02 | b6_03 | b6_04 | b6_05 | b6_06 | b6_07 | b6_08 | b6_09 | b6_1 | b6_10 | b6_11 | b6_12 | b6_13 | b6_14 | b6_15 | b6_16 | b6_17 | b6_18 | b6_19 | b6_2 | b6_20 | b6_21 | b6_3 | p224 | p224_01 | p224_02 | p224_03 | p224_04 | p224_05 | p224_06 | p224_07 | p224_08 | p224_09 | p224_10 | p224_11 | p224_12 | p224_13 | p224_14 | p6_01 | p6_02 | p6_03 | p6_04 | p6_05 | p6_06 | p6_07 | p6_08 | p6_09 | p6_10 | p6_11 | p6_12 | p6_13 | p6_14 | p6_15 | p6_16 | p6_17 | p6_18 | p6_19 | p6_20 | p6_21 | q104 | s224 | s224_01 | s224_02 | s224_03 | s224_04 | s224_05 | s224_06 | s224_07 | s224_08 | s224_09 | s224_10 | s224_11 | s224_12 | s224_13 | s224_14 | s224_15 | s224_16 | s224_17 | s224_18 | s224_19 | s224_20 | sh156_1 | sh156_2 | sh156_3 | sh156_4 | sh206_1 | sh206_2 | sh206_3 | sh206_4 | sm605 | sm905 | va104 | va304 | vah32g,Age at death | NA - Age at death | age at death | age at death               -na | na - age at death
age at death months imputed,38,82,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),b7 | b7_01 | b7_02 | b7_03 | b7_04 | b7_05 | b7_06 | b7_07 | b7_08 | b7_09 | b7_1 | b7_10 | b7_11 | b7_12 | b7_13 | b7_14 | b7_15 | b7_16 | b7_17 | b7_18 | b7_19 | b7_2 | b7_20 | b7_21 | b7_3 | p224c | p224c_01 | p224c_02 | p224c_03 | p224c_04 | p224c_05 | p224c_06 | p224c_07 | p224c_08 | p224c_09 | p224c_10 | p224c_11 | p224c_12 | p224c_13 | p224c_14 | p7_01 | p7_02 | p7_03 | p7_04 | p7_05 | p7_06 | p7_07 | p7_08 | p7_09 | p7_10 | p7_11 | p7_12 | p7_13 | p7_14 | p7_15 | p7_16 | p7_17 | p7_18 | p7_19 | p7_20 | p7_21 | s224c | s224c_01 | s224c_02 | s224c_03 | s224c_04 | s224c_05 | s224c_06 | s224c_07 | s224c_08 | s224c_09 | s224c_10 | s224c_11 | s224c_12 | s224c_13 | s224c_14 | s224c_15 | s224c_16 | s224c_17 | s224c_18 | s224c_19 | s224c_20,"Age at death (months, imputed) | Age at death (months-imputed) | NA - Age at death (months, imputed) | age at death (months, imputed) | age at death (months-imputed) | age at death months (imputed) | age at death months(imputed) | na - age at death (months, imputed)"
age at sterilization,38,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),s321a | v320,Age at sterilization | age at sterilization | age at sterilization       -na | na - age at sterilization
age of respondent at 1st birth,38,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),mv212 | v212,Age of respondent at 1st birth | NA - Age of respondent at 1st birth | age of respondent at 1st birth | age of respondent at 1st birth -na | age of respondent at 1st birth {na} | na -  age of respondent at 1st birth | na - age of respondent at 1st birth
assistant measurer s code,38,3,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),mnv421 | s1111b | v421,"Assistant measurer's code | NA - Assistant measurer's code | NA-Assistant measurer's code | [na] assistant measurer's code | assistant measurer s code | assistant measurer"" s code | assistant measurer's code | assistant measurer's code  -na"
bcg day,38,28,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),h2d | h2d_1 | h2d_2 | h2d_3 | h2d_4 | h2d_5 | h2d_6 | s4bd | s4bd_1 | s4bd_2 | s4bd_3 | s4bd_4 | s4bd_5 | s4bd_6 | sd104b | sd104b_1 | sd104b_2 | sd104b_3 | sd104b_4 | sd104b_5 | sd104b_6 | sd1508b | sd1508b_1 | sd1508b_2 | sd1508b_3 | sd1508b_4 | sd1508b_5 | sd1508b_6,BCG day | NA - BCG day | bcg day | bcg day - na | na - bcg day
bcg month,38,35,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),h2m | h2m_1 | h2m_2 | h2m_3 | h2m_4 | h2m_5 | h2m_6 | mvita | mvita_1 | mvita_2 | mvita_3 | mvita_4 | mvita_5 | mvita_6 | s4bm | s4bm_1 | s4bm_2 | s4bm_3 | s4bm_4 | s4bm_5 | s4bm_6 | sm104b | sm104b_1 | sm104b_2 | sm104b_3 | sm104b_4 | sm104b_5 | sm104b_6 | sm1508b | sm1508b_1 | sm1508b_2 | sm1508b_3 | sm1508b_4 | sm1508b_5 | sm1508b_6,BCG month | NA - BCG month | bcg month | bcg month - na | na - bcg month
bcg year,38,28,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),h2y | h2y_1 | h2y_2 | h2y_3 | h2y_4 | h2y_5 | h2y_6 | s4by | s4by_1 | s4by_2 | s4by_3 | s4by_4 | s4by_5 | s4by_6 | sy104b | sy104b_1 | sy104b_2 | sy104b_3 | sy104b_4 | sy104b_5 | sy104b_6 | sy1508b | sy1508b_1 | sy1508b_2 | sy1508b_3 | sy1508b_4 | sy1508b_5 | sy1508b_6,BCG year | NA - BCG year | bcg year | bcg year - na | na - bcg year
birth column number,38,25,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),bidx | bidx_01 | bidx_02 | bidx_03 | bidx_04 | bidx_05 | bidx_06 | bidx_07 | bidx_08 | bidx_09 | bidx_1 | bidx_10 | bidx_11 | bidx_12 | bidx_13 | bidx_14 | bidx_15 | bidx_16 | bidx_17 | bidx_18 | bidx_19 | bidx_2 | bidx_20 | bidx_21 | bidx_3,Birth column number | birth column number
birth order number,38,95,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),bord | bord98 | bord98_1 | bord98_2 | bord98_3 | bord98_4 | bord98_5 | bord98_6 | bord98_7 | bord_01 | bord_02 | bord_03 | bord_04 | bord_05 | bord_06 | bord_07 | bord_08 | bord_09 | bord_1 | bord_10 | bord_11 | bord_12 | bord_13 | bord_14 | bord_15 | bord_16 | bord_17 | bord_18 | bord_19 | bord_2 | bord_20 | bord_21 | bord_3 | hc64 | hc64_01 | hc64_02 | hc64_03 | hc64_04 | hc64_05 | hc64_06 | hc64_07 | hc64_08 | hc64_09 | hc64_1 | hc64_10 | hc64_11 | hc64_12 | hc64_13 | hc64_14 | hc64_15 | hc64_16 | hc64_17 | hc64_18 | hc64_19 | hc64_2 | hc64_20 | hc64_21 | hc64_22 | hc64_23 | hc64_24 | hc64_25 | hc64_26 | hc64_3 | hc64_4 | hc64_5 | hc64_6 | hc64_7 | hc64_8 | hc64_9 | hk64 | hk64_01 | hk64_02 | hk64_03 | hk64_04 | hk64_05 | hk64_06 | hk64_07 | hk64_08 | hk64_09 | hk64_10 | mhc64 | mhc64_01 | mhc64_02 | mhc64_03 | mhc64_04 | mhc64_05 | mhc64_06 | mhc64_07 | mhc64_08 | mhc64_09 | mhc64_1 | mhc64_10 | mhc64_2 | mhc64_3 | mhc64_4,Birth order number | birth order number | birth order number         -na | birth order number - na
