normalized_label,country_count,variable_count,countries,variables,examples
0,1,1,Madagascar,v755f,0
0first source for combination with artemisinin,1,7,Etiópia,ml20c | ml20c_1 | ml20c_2 | ml20c_3 | ml20c_4 | ml20c_5 | ml20c_6,na-0first source for combination with artemisinin
0hould children be taught a,1,1,Etiópia,v780,0hould children be taught a-na
0woman s symptoms of sti,1,1,Etiópia,mv786o,na-0woman's symptoms of sti
1,2,2,Mali | Senegal,caseid | hv023,1
1er problme de sant,1,1,Chade,c207a,1er problme de sant
1er problme en matire sant,1,1,Chade,qc222a,1er problme en matire sant
1ere visite a combien de mois,1,1,Togo,rc224,1ere visite à combien de mois
1ere visite combien de mois,1,1,Togo,rc224,1ere visite  combien de mois
1re maladie des enfants,1,1,Chade,c208a,1re maladie des enfants
1re maladie des jeunes,1,1,Chade,qc223a,1re maladie des jeunes
1rst drug taken for fever cough when 2 drugs,1,7,Gabão,s538f | s538f_1 | s538f_2 | s538f_3 | s538f_4 | s538f_5 | s538f_6,1rst drug taken for fever/cough when 2+ drugs
1rst drug taken for fever cough when 3 drugs,1,7,Gabão,s538b | s538b_1 | s538b_2 | s538b_3 | s538b_4 | s538b_5 | s538b_6,1rst drug taken for fever/cough when 3+ drugs
1st advantage of many children,1,1,Camarões,sm314a,1st advantage of many children
1st app last drinking time hours,1,8,Namíbia,sh336g1h | sh336g1h_1 | sh336g1h_2 | sh336g1h_3 | sh336g1h_4 | sh336g1h_5 | sh336g1h_6 | sh336g1h_7,1st app. last drinking time (hours)
1st app last drinking time minutes,1,8,Namíbia,sh336g1m | sh336g1m_1 | sh336g1m_2 | sh336g1m_3 | sh336g1m_4 | sh336g1m_5 | sh336g1m_6 | sh336g1m_7,1st app. last drinking time (minutes)
1st app last eating time hours,1,8,Namíbia,sh336f1h | sh336f1h_1 | sh336f1h_2 | sh336f1h_3 | sh336f1h_4 | sh336f1h_5 | sh336f1h_6 | sh336f1h_7,1st app. last eating time (hours)
1st app last eating time minutes,1,8,Namíbia,sh336f1m | sh336f1m_1 | sh336f1m_2 | sh336f1m_3 | sh336f1m_4 | sh336f1m_5 | sh336f1m_6 | sh336f1m_7,1st app. last eating time (minutes)
1st appointment for blood glucose measurement,1,8,Namíbia,sh336b1 | sh336b1_1 | sh336b1_2 | sh336b1_3 | sh336b1_4 | sh336b1_5 | sh336b1_6 | sh336b1_7,1st appointment for blood glucose measurement
1st bp measurement diastolic,1,2,Lesoto,sbp1d | smbp1d,1st bp measurement : diastolic | 1st bp measurement: diastolic
1st bp measurement systolic,1,2,Lesoto,sbp1s | smbp1s,1st bp measurement : systolic | 1st bp measurement: systolic
1st choice time for radio,1,1,Senegal,s337a,1st choice time for radio
1st comunity based name,1,1,Quênia,s02a,1st comunity based name
1st days life sucking normal,1,7,República Centro-Africana,s478c | s478c_1 | s478c_2 | s478c_3 | s478c_4 | s478c_5 | s478c_6,1st days life - sucking normal
1st disadvantage of many chldr,1,1,Camarões,sm315a,1st disadvantage of many chldr
1st measurement diastolic,2,9,Gana | Namíbia,sh315b | sh315b_1 | sh315b_2 | sh315b_3 | sh315b_4 | sh315b_5 | sh315b_6 | sh315b_7 | sm101e2,1st measurement: diastolic
1st measurement systolic,2,9,Gana | Namíbia,sh315a | sh315a_1 | sh315a_2 | sh315a_3 | sh315a_4 | sh315a_5 | sh315a_6 | sh315a_7 | sm101e1,1st measurement: systolic
1st net number for net pers,2,35,Madagascar | Moçambique,hml13 | hml13_01 | hml13_02 | hml13_03 | hml13_04 | hml13_05 | hml13_06 | hml13_07 | hml13_08 | hml13_09 | hml13_10 | hml13_11 | hml13_12 | hml13_13 | hml13_14 | hml13_15 | hml13_16 | hml13_17 | hml13_18 | hml13_19 | hml13_20 | hml13_21 | hml13_22 | hml13_23 | hml13_24 | hml13_25 | hml13_26 | hml13_27 | hml13_28 | hml13_29 | hml13_30 | hml13_31 | hml13_32 | hml13_33 | hml13_34,1st net number for net pers-na
1st net number for net person slept under last night,28,96,Angola | Benin | Burkina Faso | Camarões | Chade | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gana | Guiné | Lesoto | Libéria | Madagascar | Malaui | Mali | Namíbia | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | São Tomé e Príncipe | Tanzânia | Zimbábue | Zâmbia,hml13 | hml13_01 | hml13_02 | hml13_03 | hml13_04 | hml13_05 | hml13_06 | hml13_07 | hml13_08 | hml13_09 | hml13_10 | hml13_11 | hml13_12 | hml13_13 | hml13_14 | hml13_15 | hml13_16 | hml13_17 | hml13_18 | hml13_19 | hml13_20 | hml13_21 | hml13_22 | hml13_23 | hml13_24 | hml13_25 | hml13_26 | hml13_27 | hml13_28 | hml13_29 | hml13_30 | hml13_31 | hml13_32 | hml13_33 | hml13_34 | hml13_35 | hml13_36 | hml13_37 | hml13_38 | hml13_39 | hml13_40 | hml13_41 | hml13_42 | hml13_43 | hml13_44 | hml13_45 | hml13_46 | hml13_47 | hml13_48 | hml13_49 | hml13_50 | hml13_51 | hml13_52 | hml13_53 | hml13_54 | hml13_55 | hml13_56 | hml13_57 | hml13_58 | hml13_59 | hml13_60 | hml13_61 | hml13_62 | hml13_63 | hml13_64 | hml13_65 | hml13_66 | hml13_67 | hml13_68 | hml13_69 | hml13_70 | hml13_71 | hml13_72 | hml13_73 | hml13_74 | hml13_75 | hml13_76 | hml13_77 | hml13_78 | hml13_79 | hml13_80 | hml13_81 | hml13_82 | hml13_83 | hml13_84 | hml13_85 | hml13_86 | hml13_87 | hml13_88 | hml13_89 | hml13_90 | hml13_91 | hml13_92 | hml13_93 | hml13_94 | hml13_95,1st net number for net person slept under last night | 1st net number for net person slept under last night - na
1st response to fever,1,6,Malaui,s63b1 | s63b1_1 | s63b1_2 | s63b1_3 | s63b1_4 | s63b1_5,1st response to fever
1st treatment for fever,1,7,Ruanda,s463ca | s463ca_1 | s463ca_2 | s463ca_3 | s463ca_4 | s463ca_5 | s463ca_6,1st treatment for fever
2008 state codes reclassified into 2003 state codes,1,1,Nigéria,s2003st,2008 state codes reclassified into 2003 state codes
2m problme en matire sant,1,1,Chade,qc222b,2m problme en matire sant
2me maladie des enfants,1,1,Chade,c208b,2me maladie des enfants
2me maladie des jeunes,1,1,Chade,qc223b,2me maladie des jeunes
2me problme de sant,1,1,Chade,c207b,2me problme de sant
2nd advantage of many children,1,1,Camarões,sm314b,2nd advantage of many children
2nd app last drinking time hours,1,8,Namíbia,sh336g2h | sh336g2h_1 | sh336g2h_2 | sh336g2h_3 | sh336g2h_4 | sh336g2h_5 | sh336g2h_6 | sh336g2h_7,2nd app. last drinking time (hours)
2nd app last drinking time minutes,1,8,Namíbia,sh336g2m | sh336g2m_1 | sh336g2m_2 | sh336g2m_3 | sh336g2m_4 | sh336g2m_5 | sh336g2m_6 | sh336g2m_7,2nd app. last drinking time (minutes)
2nd app last eating time hours,1,8,Namíbia,sh336f2h | sh336f2h_1 | sh336f2h_2 | sh336f2h_3 | sh336f2h_4 | sh336f2h_5 | sh336f2h_6 | sh336f2h_7,2nd app. last eating time (hours)
