country,file,stem,recode,women_health_category,women_health_role,phase_version,variables,catalog_filename,survey_id,data_label
Angola,AOCR71FL.DTA,AOCR71FL,CR,casal_parceiro,Informações conjugais e do parceiro,71,2475,AOCR71DT.zip,477,
Angola,AOCR81FL.dta,AOCR81FL,CR,casal_parceiro,Informações conjugais e do parceiro,81,1787,AOCR81DT.zip,569,
Angola,AOKR51FL.DTA,AOKR51FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",51,1022,AOKR51DT.zip,282,
Angola,AOKR62FL.DTA,AOKR62FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",62,316,AOKR62DT.zip,395,
Angola,AOKR71FL.DTA,AOKR71FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",71,1160,AOKR71DT.zip,477,
Angola,AOKR81FL.dta,AOKR81FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",81,1441,AOKR81DT.zip,569,
Angola,AOHR51FL.DTA,AOHR51FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",51,2112,AOHR51DT.zip,282,
Angola,AOHR62FL.DTA,AOHR62FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",62,1506,AOHR62DT.zip,395,
Angola,AOHR71FL.DTA,AOHR71FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",71,3263,AOHR71DT.zip,477,
Angola,AOHR81FL.dta,AOHR81FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",81,6105,AOHR81DT.zip,569,
Angola,AOMR71FL.DTA,AOMR71FL,MR,casal_parceiro,Informações masculinas relacionadas ao casal,71,592,AOMR71DT.zip,477,
Angola,AOMR81FL.dta,AOMR81FL,MR,casal_parceiro,Informações masculinas relacionadas ao casal,81,690,AOMR81DT.zip,569,
Angola,AOPR51FL.DTA,AOPR51FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,51,278,AOPR51DT.zip,282,
Angola,AOPR62FL.DTA,AOPR62FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,62,238,AOPR62DT.zip,395,
Angola,AOPR71FL.DTA,AOPR71FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,71,434,AOPR71DT.zip,477,
Angola,AOPR81FL.dta,AOPR81FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,81,1096,AOPR81DT.zip,569,
Angola,AOBR62FL.DTA,AOBR62FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",62,316,AOBR62DT.zip,395,
Angola,AOBR71FL.DTA,AOBR71FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",71,1160,AOBR71DT.zip,477,
Angola,AOBR81FL.dta,AOBR81FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",81,1467,AOBR81DT.zip,569,
Angola,AOIR51FL.DTA,AOIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,4213,AOIR51DT.zip,282,
Angola,AOIR62FL.DTA,AOIR62FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,62,1219,AOIR62DT.zip,395,
Angola,AOIR71FL.DTA,AOIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,5336,AOIR71DT.zip,477,
Angola,AOIR81FL.dta,AOIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,7053,AOIR81DT.zip,569,
Benin,BJHW31FL.DTA,BJHW31FL,HW,antropometria,"Peso, altura, anemia e medidas corporais",31,7,BJHW31DT.zip,87,
Benin,BJHW41FL.DTA,BJHW41FL,HW,antropometria,"Peso, altura, anemia e medidas corporais",41,7,BJHW41DT.zip,211,
Benin,BJCR31FL.DTA,BJCR31FL,CR,casal_parceiro,Informações conjugais e do parceiro,31,1359,BJCR31DT.zip,87,
Benin,BJCR41FL.DTA,BJCR41FL,CR,casal_parceiro,Informações conjugais e do parceiro,41,2475,BJCR41DT.zip,211,
Benin,BJCR51FL.DTA,BJCR51FL,CR,casal_parceiro,Informações conjugais e do parceiro,51,2563,BJCR51DT.zip,289,
Benin,BJCR61FL.DTA,BJCR61FL,CR,casal_parceiro,Informações conjugais e do parceiro,61,2276,BJCR61DT.zip,420,
Benin,BJCR71FL.DTA,BJCR71FL,CR,casal_parceiro,Informações conjugais e do parceiro,71,2540,BJCR71DT.zip,491,
Benin,BJKR31FL.DTA,BJKR31FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",31,615,BJKR31DT.zip,87,
Benin,BJKR41FL.DTA,BJKR41FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",41,926,BJKR41DT.zip,211,
