variable,country_count,file_count,labels,themes
b0,38,367,Child is twin | child is twin,historia_reprodutiva
b0_01,38,323,Child is twin | b0$02 | child is twin,historia_reprodutiva | outros
b0_02,38,323,Child is twin | child is twin,historia_reprodutiva | outros
b0_03,38,323,Child is twin | b0$04 | child is twin,historia_reprodutiva | outros
b0_04,38,323,Child is twin | child is twin,historia_reprodutiva | outros
b0_05,38,323,Child is twin | b0$06 | child is twin,historia_reprodutiva | outros
b0_06,38,323,Child is twin | child is twin,historia_reprodutiva | outros
b0_07,38,323,Child is twin | b0$08 | child is twin,historia_reprodutiva | outros
b0_08,38,323,Child is twin | child is twin,historia_reprodutiva | outros
b0_09,38,323,Child is twin | b0$10 | child is twin,historia_reprodutiva | outros
b0_10,38,323,Child is twin | child is twin,historia_reprodutiva | outros
b0_11,38,323,Child is twin | b0$12 | child is twin,historia_reprodutiva | outros
b0_12,38,323,Child is twin | child is twin,historia_reprodutiva | outros
b0_13,38,323,Child is twin | b0$14 | child is twin,historia_reprodutiva | outros
b0_14,38,323,Child is twin | child is twin,historia_reprodutiva | outros
b0_15,38,323,Child is twin | b0$16 | child is twin,historia_reprodutiva | outros
b0_16,38,321,Child is twin | child is twin,historia_reprodutiva | outros
b0_17,38,321,Child is twin | b0$18 | child is twin,historia_reprodutiva | outros
b0_18,38,321,Child is twin | child is twin,historia_reprodutiva | outros
b0_19,38,321,"Child is twin | b0$20    ""child is twin"" | b0$20    'child is twin' | child is twin",historia_reprodutiva
b0_20,38,321,Child is twin | child is twin,historia_reprodutiva | outros
b1,38,367,Month of birth | month of birth,historia_reprodutiva
b10,38,367,Completeness of information | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_01,38,324,Completeness of information | b10$02 | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_02,38,324,Completeness of information | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_03,38,324,Completeness of information | b10$04 | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_04,38,324,Completeness of information | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_05,38,324,"Completeness of information | b10$06 | b10$06   ""name of hospital"" | completeness of information | completeness of information for date of birth",historia_reprodutiva | outros
b10_06,38,324,Completeness of information | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_07,38,323,Completeness of information | b10$08 | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
b10_08,38,323,Completeness of information | completeness of information | completeness of information for date of birth,historia_reprodutiva | outros
