filename,country_code,country_name,recode_code,recode_name,recode_description,category_folder,phase_version,format,surv_id,url,relative_path
AOBR62DT.zip,AO,Angola,BR,Nascimentos (Births Recode),"Histórico de nascimentos das mulheres entrevistadas, partos, peso ao nascer e mortalidade infantil.",Nascimentos_BR,62,Stata (.dta),395,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOBR62DT.zip&Tp=1&Ctry_Code=AO&surv_id=395&dm=1&dmode=nm,Angola/Nascimentos_BR/AOBR62DT.zip
AOBR71DT.zip,AO,Angola,BR,Nascimentos (Births Recode),"Histórico de nascimentos das mulheres entrevistadas, partos, peso ao nascer e mortalidade infantil.",Nascimentos_BR,71,Stata (.dta),477,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOBR71DT.zip&Tp=1&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm,Angola/Nascimentos_BR/AOBR71DT.zip
AOBR81DT.zip,AO,Angola,BR,Nascimentos (Births Recode),"Histórico de nascimentos das mulheres entrevistadas, partos, peso ao nascer e mortalidade infantil.",Nascimentos_BR,81,Stata (.dta),569,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOBR81DT.zip&Tp=1&Ctry_Code=AO&surv_id=569&dm=1&dmode=nm,Angola/Nascimentos_BR/AOBR81DT.zip
AOCR71DT.zip,AO,Angola,CR,Casais (Couples Recode),Dados conjuntos de casais casados ou vivendo em união estável.,Casais_CR,71,Stata (.dta),477,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOCR71DT.zip&Tp=1&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm,Angola/Casais_CR/AOCR71DT.zip
AOCR81DT.zip,AO,Angola,CR,Casais (Couples Recode),Dados conjuntos de casais casados ou vivendo em união estável.,Casais_CR,81,Stata (.dta),569,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOCR81DT.zip&Tp=1&Ctry_Code=AO&surv_id=569&dm=1&dmode=nm,Angola/Casais_CR/AOCR81DT.zip
AOHR51DT.zip,AO,Angola,HR,Domicílios (Household Recode),"Características do domicílio, saneamento básico, fontes de água, bens e bens duráveis.",Domicilios_HR,51,Stata (.dta),282,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOHR51DT.zip&Tp=1&Ctry_Code=AO&surv_id=282&dm=1&dmode=nm,Angola/Domicilios_HR/AOHR51DT.zip
AOHR62DT.zip,AO,Angola,HR,Domicílios (Household Recode),"Características do domicílio, saneamento básico, fontes de água, bens e bens duráveis.",Domicilios_HR,62,Stata (.dta),395,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOHR62DT.zip&Tp=1&Ctry_Code=AO&surv_id=395&dm=1&dmode=nm,Angola/Domicilios_HR/AOHR62DT.zip
AOHR71DT.zip,AO,Angola,HR,Domicílios (Household Recode),"Características do domicílio, saneamento básico, fontes de água, bens e bens duráveis.",Domicilios_HR,71,Stata (.dta),477,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOHR71DT.zip&Tp=1&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm,Angola/Domicilios_HR/AOHR71DT.zip
AOHR81DT.zip,AO,Angola,HR,Domicílios (Household Recode),"Características do domicílio, saneamento básico, fontes de água, bens e bens duráveis.",Domicilios_HR,81,Stata (.dta),569,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOHR81DT.zip&Tp=1&Ctry_Code=AO&surv_id=569&dm=1&dmode=nm,Angola/Domicilios_HR/AOHR81DT.zip
AOIR51DT.zip,AO,Angola,IR,Mulheres (Individual Recode),"Dados individuais de mulheres (15-49 anos). Inclui saúde reprodutiva, maternidade, pré-natal, etc. [BÔNUS SAÚDE DA MULHER]",Saude_da_Mulher_IR,51,Stata (.dta),282,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOIR51DT.zip&Tp=1&Ctry_Code=AO&surv_id=282&dm=1&dmode=nm,Angola/Saude_da_Mulher_IR/AOIR51DT.zip
