pais_codigo,pais_nome,fase,recode,arquivo_origem,caminho_origem,linhas,colunas_selecionadas,colunas
AO,Angola,81,IR,AOIR81FL.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Angola\Saude_da_Mulher_IR\AOIR81DT\AOIR81FL.dta,14717,100,caseid|v001|v002|v003|v005|v006|v007|v008|v008a|v012|v013|v024|v025|v106|v190|v201|v212|v301|v302|v302a|v304_01|v304_02|v304_03|v304_04|v304_05|v304_06|v304_07|v304_08|v304_09|v304_10|v304_11|v304_12|v304_13|v304_14|v304_15|v304_16|v304_17|v304_18|v304_19|v304_20|v305_01|v305_02|v305_03|v305_04|v305_05|v305_06|v305_07|v305_08|v305_09|v305_10|v305_11|v305_12|v305_13|v305_14|v305_15|v305_16|v305_17|v305_18|v305_19|v305_20|v307_01|v307_02|v307_03|v307_04|v307_05|v307_06|v307_07|v307_08|v307_09|v307_10|v307_11|v307_12|v307_13|v307_14|v307_15|v307_16|v307_17|v307_18|v307_19|v307_20|v312|v313|m3a_1|m3b_1|m4_1|m5_1|m13_1|m14_1|m15_1|m17_1|m18_1|m19_1|m34_1|m35_1|m36_1|m38_1|m39_1|v445|v453|v457
AO,Angola,81,BR,AOBR81FL.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Angola\Nascimentos_BR\AOBR81DT\AOBR81FL.dta,37767,45,caseid|bidx|v001|v002|v003|v005|bord|b0|b1|b2|b3|b4|b5|b6|b7|b8|b9|b10|b11|b12|b13|b15|b16|b17|b18|b19|b20|b21|m3a|m3b|m4|m5|m6|m7|m13|m14|m15|m17|m18|m19|m34|m35|m36|m38|m39a
AO,Angola,81,HR,AOHR81FL.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Angola\Domicilios_HR\AOHR81DT\AOHR81FL.dta,16243,43,hhid|hv001|hv002|hv003|hv005|hv009|hv012|hv013|hv024|hv025|hv201|hv205|hv206|hv207|hv208|hv209|hv210|hv211|hv212|hv213|hv214|hv215|hv216|hv217|hv218|hv219|hv220|hv221|hv222|hv223|hv225|hv226|hv227|hv228|hv230a|hv232|hv234|hv235|hv236a|hv237|hv240|hv270|hv271
AO,Angola,81,PR,AOPR81FL.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Angola\Moradores_PR\AOPR81DT\AOPR81FL.dta,76173,40,hhid|hvidx|hv001|hv002|hv003|hv004|hv005|hv009|hv012|hv013|hv024|hv025|hv101|hv102|hv103|hv104|hv105|hv106|hv107|hv108|hv109|hv110|hv111|hv112|hv113|hv114|hv115|hv116|hv117|hv118|hv120|hv121|hv122|hv123|hv124|hv125|hv126|hv127|hv128|hv129
AO,Angola,81,KR,AOKR81FL.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Angola\Criancas_KR\AOKR81DT\AOKR81FL.dta,11433,54,caseid|bidx|v001|v002|v003|v005|bidxp|b0|b1|b2|b3|b4|b5|b6|b7|b8|b9|b10|b11|b12|m4|m5|m6|m7|m13|m14|m15|m17|m18|m19|m34|m35|m36|m38|m39a|h1|h2|h3|h4|h5|h6|h7|h8|h9|h10|h40|h11|h13|h22|h31|h34|h39|h42|h43
AO,Angola,81,CR,AOCR81FL.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Angola\Casais_CR\AOCR81DT\AOCR81FL.dta,2461,19,caseid|v001|v002|v003|v005|v012|v024|v025|mv001|mv002|mv003|mv005|mv012|mv024|mv025|v106|v190|mv106|mv190
AO,Angola,81,MR,AOMR81FL.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Angola\Homens_MR\AOMR81DT\AOMR81FL.dta,6604,12,mcaseid|mv001|mv002|mv003|mv005|mv012|mv024|mv025|mv106|mv190|mv201|mv212
BF,Burkina Faso,81,IR,BFIR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Burkina Faso\Saude_da_Mulher_IR\BFIR81DT\BFIR81FL.DTA,17659,100,caseid|v001|v002|v003|v005|v006|v007|v008|v008a|v012|v013|v024|v025|v106|v190|v201|v212|v301|v302|v302a|v304_01|v304_02|v304_03|v304_04|v304_05|v304_06|v304_07|v304_08|v304_09|v304_10|v304_11|v304_12|v304_13|v304_14|v304_15|v304_16|v304_17|v304_18|v304_19|v304_20|v305_01|v305_02|v305_03|v305_04|v305_05|v305_06|v305_07|v305_08|v305_09|v305_10|v305_11|v305_12|v305_13|v305_14|v305_15|v305_16|v305_17|v305_18|v305_19|v305_20|v307_01|v307_02|v307_03|v307_04|v307_05|v307_06|v307_07|v307_08|v307_09|v307_10|v307_11|v307_12|v307_13|v307_14|v307_15|v307_16|v307_17|v307_18|v307_19|v307_20|v312|v313|m3a_1|m3b_1|m4_1|m5_1|m13_1|m14_1|m15_1|m17_1|m18_1|m19_1|m34_1|m35_1|m36_1|m38_1|m39_1|v445|v453|v457
BF,Burkina Faso,81,BR,BFBR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Burkina Faso\Nascimentos_BR\BFBR81DT\BFBR81FL.DTA,48745,45,caseid|bidx|v001|v002|v003|v005|bord|b0|b1|b2|b3|b4|b5|b6|b7|b8|b9|b10|b11|b12|b13|b15|b16|b17|b18|b19|b20|b21|m3a|m3b|m4|m5|m6|m7|m13|m14|m15|m17|m18|m19|m34|m35|m36|m38|m39a
BF,Burkina Faso,81,HR,BFHR81FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Burkina Faso\Domicilios_HR\BFHR81DT\BFHR81FL.DTA,13251,43,hhid|hv001|hv002|hv003|hv005|hv009|hv012|hv013|hv024|hv025|hv201|hv205|hv206|hv207|hv208|hv209|hv210|hv211|hv212|hv213|hv214|hv215|hv216|hv217|hv218|hv219|hv220|hv221|hv222|hv223|hv225|hv226|hv227|hv228|hv230a|hv232|hv234|hv235|hv236a|hv237|hv240|hv270|hv271
